m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,ticks
29.297817,43.164757,43.531677,38.80507,-1.1832951,-2.4056005,-0.26211107,10.044985,34.239174,-3.9516335,-16.58445,0.37121296,0.959903,-0.44378313,20.478647,-2.8882103,13.157482,21.635391,-3.5074592,-0.08534956,0.76489973,10
28.21193,4.439419,30.60125,-16.986511,1.4687597,2.007476,-0.42029133,18.253654,-2.3173637,-35.445934,3.2059898,-1.8707778,-0.20590504,-0.66522515,22.914154,-37.982155,4.837139,36.61664,0.49447376,0.09090356,0.85018694,130
11.031356,25.775162,-18.91619,9.579395,-1.2754719,-0.06645222,0.18685116,19.525572,48.73796,14.229271,-38.059273,1.2781842,1.0554496,-1.1286961,14.58825,-26.898802,-3.2119217,47.996613,-0.8062678,-0.6385659,-0.39117602,34
27.441261,22.538795,48.801132,-48.87811,0.8815583,1.0339872,-0.4742954,20.132866,-20.635408,-13.198124,40.311996,-1.3574952,1.7002685,-1.5367056,24.635136,-0.19454193,-11.306744,-29.444616,-0.06596592,-0.21318145,0.21491703,919
13.775081,5.574642,-47.43809,-26.077843,-0.22000538,0.2747688,0.23182322,14.069006,-4.9664,37.21277,47.362556,0.46052694,-2.411912,-1.5416698,25.65458,4.4538193,-11.860657,13.789444,0.62210846,-0.09576045,0.2811752,13
17.634989,-46.647156,-21.83085,21.692474,-2.0849402,-0.39297876,2.2229779,22.490082,2.2661552,32.59693,43.615135,2.753615,1.1990824,-4.861791,22.123646,1.2818031,21.192017,35.77983,2.2194252,-3.5130577,4.064049,1
28.293217,18.340584,42.97432,23.643959,-0.02608624,0.6071291,-0.8002099,16.044771,-31.319391,6.390423,-22.187769,-2.5305605,2.168088,-0.116520405,20.158552,-37.669353,-9.143238,-18.5022,-3.4380555,-1.1900318,3.2228184,24
17.171303,47.41021,29.737152,24.637299,0.19249427,-0.25205967,0.68369794,27.90909,49.246185,-16.90409,12.947071,3.4272413,-3.727538,-1.2328095,23.936457,43.091835,-7.623516,27.831306,3.8042746,1.9633031,3.8508978,2
14.858511,45.283577,-20.972752,-31.724125,0.3385558,0.4737177,-0.069596,27.006086,-32.734997,-14.219929,10.1263275,1.2146544,0.6390994,-1.5472927,23.935415,17.045944,21.997902,32.73774,0.037516125,-0.29379645,-0.1690072,485
10.619305,13.98148,-4.2422905,-18.780636,-0.4013375,-1.3401531,2.565562,12.181169,3.8320007,15.208092,14.519478,-0.34354386,-0.0037214134,0.5410331,27.917221,37.888428,37.633736,-32.85678,-0.5271572,1.2798417,0.21838367,46
14.707542,42.840378,42.60665,17.450615,1.0223688,1.8660978,0.7909372,13.616835,15.345848,21.243889,8.858955,0.091066346,-0.120017,0.21199022,19.645573,-38.30567,-5.330044,-16.758495,1.221946,-1.3625796,-0.042711157,123
21.254381,-16.006954,-23.826134,14.035156,-0.8160727,-0.658436,-0.71492416,10.5446825,43.18525,-24.968975,9.831501,-0.7526141,-1.1870233,0.06776303,11.85644,48.998863,46.170494,44.054405,0.93046385,-0.65908843,0.98313564,625
29.377481,-39.77731,25.479042,-5.172104,-1.7841318,0.91978675,-0.9729826,29.119019,43.729736,21.691086,-11.517834,-1.3872904,1.4352056,-1.3426576,21.99172,-31.48374,-37.384098,-14.582008,-1.5032084,-1.1055012,-0.9209331,184
13.180635,44.815918,-7.541458,41.108467,0.6327299,-0.4970337,-0.51565564,11.727192,-26.732147,-19.963623,-19.578112,-0.1838843,0.3695259,0.37243462,13.223656,12.42318,1.6805534,-25.980742,-0.60063124,1.8502192,0.8902149,302
10.4471855,-6.928898,-14.025368,-43.2934,0.20703776,0.56950366,-0.10060513,18.540514,-39.07987,-33.06251,43.12063,-0.38713422,-0.9021147,-0.27941978,10.027588,34.499237,16.423347,34.815247,0.43410176,1.2317382,-0.5370654,614
24.247398,48.499886,12.080223,-11.851978,0.022039657,0.08440314,-1.1441623,13.465914,40.943214,-0.42442703,38.673035,0.14778222,-0.45564678,0.7553936,16.740091,-14.917427,48.575592,-39.362484,-0.6034832,-0.48639333,-0.1260065,43
17.629929,-22.907251,-30.812538,-34.379425,-2.2660315,1.425911,-1.4153111,10.651692,28.718613,37.18933,-34.823334,-0.25088394,-0.20946719,-0.12556942,11.853232,-22.29005,-8.339111,-31.009787,-1.7484984,-0.52635956,0.59479403,64
22.168236,45.52304,4.3691406,-27.160341,0.2730907,-0.217933,-0.2866992,17.952168,-45.959187,-40.359573,-26.99114,1.2221235,-0.7077851,0.7794014,11.367243,-7.479454,-39.395546,44.808014,0.12982684,-0.12704907,0.14670298,2128
25.997349,-46.649277,12.546497,-30.257113,1.8057035,0.37278792,0.80162394,16.379145,-42.504787,25.181679,38.10643,0.9720707,-2.1032996,-1.4796586,24.395689,43.120903,28.31401,31.417885,0.81507254,1.1168841,0.68400276,630
28.879436,-41.48619,6.4641953,-42.78732,0.5191307,-1.328576,-1.1128777,11.026386,-0.2534256,3.6743088,32.79548,-1.2519314,0.6502544,-0.024719806,25.870033,-20.982069,39.60379,29.62584,0.26910314,-0.31488007,0.27287546,17
13.222836,-17.902828,-15.879787,44.90747,-0.1854252,0.6802007,-2.2191923,25.543423,35.528305,7.3115005,18.108307,-0.8291727,2.0889742,0.6030039,10.082927,31.229301,39.063812,47.919014,0.46761903,-0.06841215,0.25814047,252
27.646236,-14.729691,-49.351055,-6.776394,0.060887814,0.87765646,-0.30661964,11.770362,-18.578428,-28.445805,41.13218,0.014745733,0.09843442,0.15144596,15.888325,43.655365,-42.990417,-29.495573,0.5031185,2.1139522,-1.3459826,66
16.36179,-36.957752,34.168884,12.411518,0.6395569,1.1724962,-1.1477852,17.466282,-7.944374,-48.766254,11.20335,0.04493809,-0.6884784,-0.23602556,25.411385,21.168861,-4.760063,-46.037663,1.6582967,0.13978143,1.1779275,2488
20.20758,-40.63276,-7.048519,28.47934,0.4896484,0.22574337,0.06629879,20.128891,46.960823,-38.507515,-49.030144,1.268021,0.30343452,0.88395756,28.509533,-48.144646,29.50383,28.859093,-0.36055517,-0.6406528,-0.15984525,11
23.876146,-27.006817,48.19404,32.694557,1.3639948,-1.3614936,0.7105548,19.477531,6.759159,28.236824,-27.010233,1.7011325,0.5002627,1.1265424,20.362991,48.083115,40.64103,43.140152,0.85220385,-1.1574607,1.8397994,228
23.049198,18.950157,-25.561577,40.319138,3.2613602,1.7305384,-0.009488106,22.680336,-30.978138,-0.26359558,-31.973177,-1.447651,0.92270404,1.5619146,16.823235,2.3457947,-19.869364,48.479156,3.5034294,-1.8226652,3.4006271,1
17.492504,-14.389355,-21.46402,16.45095,4.7076864,1.3504982,3.0488453,27.352808,-12.353127,-36.606125,24.115921,-0.37079707,-0.13165733,-0.018421069,19.546898,13.358742,41.067917,21.131256,2.3106215,1.5614647,-0.3463809,49
14.330045,-18.211407,22.794975,17.248283,0.6126274,-1.5143945,-2.9484549,16.66935,-16.129368,-15.271996,44.400238,-0.047743946,1.3187485,-0.3865857,15.751821,-17.332977,-4.91243,9.050018,-1.7302604,-1.0538995,1.9188862,2518
23.652573,-48.701096,-35.58258,23.462708,3.803522,-1.884522,-0.50311947,16.357788,-42.48407,-26.189226,25.725746,2.9891348,-3.0477314,2.1108985,18.503334,-49.712914,24.011177,-37.60495,0.78899574,-2.2433496,-0.62037945,3
12.925407,-18.277348,37.3274,42.646927,-1.5892813,-0.1659632,-0.067934364,13.745502,34.923203,13.453686,19.210167,0.8700981,0.06697131,0.25765815,14.194264,-11.888462,-20.598925,-6.130432,-0.09155574,-0.04875442,-0.004252265,95
11.772312,-22.908365,-27.06684,41.137108,-0.908077,1.3057995,1.5474433,29.720945,7.5245132,-21.313942,32.37908,-1.0157297,-0.069710225,-0.72442585,17.353209,8.3041,-5.5555267,37.332855,-1.600393,1.3384676,2.9870133,9
19.381933,-45.858074,15.127876,16.56305,0.11447613,-0.88183707,0.41422427,16.58754,-45.84301,-35.05822,-32.010345,0.99333334,-0.7392874,-1.0700488,18.69106,36.75377,-37.29833,-28.733767,-0.08059951,1.1614745,1.2032708,55
14.38889,-43.812973,2.014614,-48.682045,-0.15466277,-3.4476943,-0.48195428,21.281075,-7.0648537,11.171127,31.874641,-0.8485001,-1.941266,-1.2070377,22.562656,-33.342022,7.1192017,-9.784992,2.2709947,-2.1867085,0.16958772,35
