m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
15.999872,13.564449,42.423622,41.30004,-1.5139854,-3.3824224,-1.0935128,18.285847,13.508545,25.482742,41.024574,2.5166917,2.8212194,-2.6697028,16.53331,-41.40447,-11.08197,48.71566,-0.17590587,0.20513265,0.15972085,15.776041,25.044905,33.692978,2.9762938,-3.4319022,-2.9931836,15.765179,39.90012,33.96132,-1.5887854,2.7286584,-0.9716268,-41.69934,-10.011576,49.254658,0.019348823,0.35538915,0.1200277,76
23.738441,10.551239,29.373238,-33.862595,-2.1889226,-0.8878906,2.3315482,27.853888,-8.196533,17.479149,-31.608212,0.31253862,-2.8459084,1.6261997,20.48173,-22.330439,19.160095,-1.3579292,-4.4227047,-0.30777264,-0.3535514,-84.00253,-36.515884,31.50767,-1.1859902,-0.16020398,0.080240294,-110.24196,-42.663673,35.08873,-2.2786415,-2.2038162,0.15511659,-56.91697,-48.15115,29.632967,-2.0612636,-2.0243745,4.2563076,866
20.362467,1.5596046,40.722336,-41.316975,-0.6253823,1.3194834,-1.0595459,25.928026,-27.123386,-48.02533,-18.75009,0.74514097,0.10229773,-0.5140515,12.287111,7.0167656,1.5137596,-45.916893,-1.9213419,-2.4517064,0.72003335,-147.84454,9.598822,-270.2659,0.34827736,-0.29981503,-0.56553763,-179.45972,-68.899994,-229.65274,0.118044704,0.69644827,-0.4793294,-116.60483,72.56023,-281.7611,-2.2116182,-1.0219358,-0.17191154,10000
12.38732,44.049057,-19.95918,-38.937004,1.1450968,1.2315918,1.1529914,18.499203,-19.15735,40.20124,-6.8566628,-0.45068544,0.025221715,-0.5216309,25.963749,38.12014,-23.15324,4.6457634,0.7389516,-0.9337808,0.7756703,275.791,3.0868292,285.36316,0.2270482,0.5712909,0.83607143,241.41188,-91.01159,209.77371,-0.015300663,0.062630296,1.6451943,223.98102,-104.768166,172.62257,0.8667355,-0.64540505,-0.61699617,10000
26.867239,33.15518,-30.458576,-28.341644,-1.7704989,0.8358272,-1.9433352,29.556765,-40.53387,5.3839912,6.8694,0.88527244,-0.21964546,-0.37563938,15.070557,3.6335068,22.003983,-11.932743,0.18778193,0.07765424,-0.32139647,-130.83287,119.45147,-460.2267,2.1177607,-0.6462852,0.019184548,-134.99213,108.5271,-477.0868,-1.5981674,0.68360794,-2.164155,-134.95425,120.944336,-554.13806,-1.8734951,0.9484316,-0.31239966,10000
20.278465,-35.002556,-23.367697,-47.797276,-0.054015357,-0.111236855,-0.14277744,29.800917,-33.14872,33.280838,4.3931847,0.892754,0.27856493,-0.90327936,19.739296,22.717789,1.2034912,12.67625,-2.6010141,-1.5623043,0.660762,-261.54672,-208.32489,-101.4479,-0.4258494,1.7516046,-0.44416076,-232.94627,-203.13419,-139.8642,-0.06229397,-1.2562038,-0.47784778,-97.25554,-79.87724,-139.22717,-0.7771661,-1.1589422,0.3280991,10000
16.48191,-37.251263,16.416916,-4.3866463,-0.50945807,-3.441571,3.7698135,25.11267,-49.05647,42.832474,-47.332172,0.04199942,-0.083724834,-0.040332403,18.947258,-22.934734,14.325455,3.5413666,-0.48582315,0.36798793,0.5983752,-57.249645,-16.94651,35.725986,2.838247,-1.3401874,1.4402837,-51.22703,-22.708563,51.486565,4.5601506,-7.670022,14.502086,-51.218582,-21.947308,50.30026,-9.386289,8.594899,-16.649706,1112
16.46196,9.600628,-44.555325,18.342438,0.51516867,-0.13921885,-1.5586107,28.485048,38.724144,22.646378,48.611458,-0.33186722,-0.369606,-0.25925222,14.662333,42.354584,9.3922,-32.85814,0.058416225,-0.10687657,-0.031669576,-11.6073475,-230.18626,-266.85355,0.6750209,0.7637755,-1.2038565,42.879555,-79.12525,-246.9352,-0.37928241,-0.06899615,-0.3524193,54.13459,-75.09254,-281.10303,-0.02893952,-1.7047102,-0.24894457,10000
13.834033,11.261513,-22.20586,-9.907906,0.12206964,-1.3936708,-1.6665223,17.21592,24.410011,38.10717,49.947166,-1.4497452,-0.8374829,0.63285255,14.659248,26.687576,-26.962948,7.5993233,1.2743714,1.3374952,0.79755646,12.911592,-206.45738,-16.726307,0.7330049,0.5346373,0.27113906,-31.12089,-124.58206,10.575266,0.07948072,-0.06362599,0.40399477,-66.16475,-142.65529,44.30926,-1.0981045,-1.3910908,-0.7622597,10000
18.256134,-9.282864,-30.248636,-40.73411,-1.3216801,1.1392307,-1.6742885,20.527039,-34.503036,43.679527,-35.896904,-0.3454521,-1.929398,0.5241009,13.552957,-4.6043587,-2.8874474,-13.975189,-0.9657417,-1.8767973,-2.096336,-220.69177,-246.76878,-275.9227,-0.3864919,-1.6253823,-0.7651233,-237.89626,-230.39362,-328.89038,-1.4015629,0.4024146,-0.91058666,-252.80229,-135.90535,-168.6666,-0.62589824,-1.6845189,-1.1480556,5145
